text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
cooterpuffing,coot,sexual anatomy / sexual acts,2.4,Strong,cooterpuffing
fcks,fuck,sexual anatomy / sexual acts,2.0,Strong,fcks
phuckings,fuck,sexual anatomy / sexual acts,2.4,Strong,phuckings
cockshit,cock,sexual anatomy / sexual acts,2.2,Strong,cockshit
ass-hole,ass,sexual anatomy / sexual acts,2.0,Strong,ass-hole
shiesterfuckface,fuck,sexual anatomy / sexual acts,2.8,Severe,shiesterfuckface
fag asses,faggot,sexual orientation / gender,2.8,Severe,fagasses
fuck arse,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckarse
ku kluxer,ku kluxer,racial / ethnic slurs,2.6,Severe,kukluxer
bbc,cock,sexual anatomy / sexual acts,1.4,Mild,bbc
cyberfucs,fuck,sexual anatomy / sexual acts,2.0,Strong,cyberfucs
fukwhore,fuck,sexual anatomy / sexual acts,2.8,Severe,fukwhore
f@gshit,shit,sexual orientation / gender,2.8,Severe,f@gshit
f@k,fuck,sexual anatomy / sexual acts,1.8,Strong,f@k
f@cker bunny,fuck,sexual anatomy / sexual acts,2.2,Strong,f@ckerbunny
sphincter,sphincter,sexual anatomy / sexual acts,1.0,Mild,sphincter
slanty,slant eye,racial / ethnic slurs,2.6,Severe,slanty
jagoff,jack off,sexual anatomy / sexual acts,1.0,Mild,jagoff
cajones,cojones,sexual anatomy / sexual acts,1.0,Mild,cajones
arse,arse,sexual anatomy / sexual acts,1.0,Mild,arse
bastinado,bastard,other / general insult,1.8,Strong,bastinado
fucker,fuck,sexual anatomy / sexual acts,2.2,Strong,fucker
niggass,nigger,racial / ethnic slurs,2.6,Severe,niggass
pusslicker,pussy,sexual anatomy / sexual acts,2.2,Strong,pusslicker
sonofabitch,bitch,other / general insult,1.4,Mild,sonofabitch
l3itches,bitch,sexual orientation / gender,1.2,Mild,l3itches
Fuck,fuck,sexual anatomy / sexual acts,2.0,Strong,Fuck
tard asses,ass,sexual anatomy / sexual acts,3.0,Severe,tardasses
shytfeisterfuck,fuck,sexual anatomy / sexual acts,2.6,Severe,shytfeisterfuck
twa+,twat,sexual anatomy / sexual acts,1.2,Mild,twa+
arse gobbler,arse,sexual anatomy / sexual acts,2.0,Strong,arsegobbler
sumbitch,bitch,sexual orientation / gender,1.6,Strong,sumbitch
fukwit,fuck,sexual anatomy / sexual acts,2.2,Strong,fukwit
feck,fuck,sexual anatomy / sexual acts,1.6,Strong,feck
pigfucking,fuck,sexual anatomy / sexual acts,2.6,Severe,pigfucking
fuku,fuck,sexual anatomy / sexual acts,2.6,Severe,fuku
peter,peter puffer,sexual anatomy / sexual acts,1.0,Mild,peter
assfcker,ass,sexual anatomy / sexual acts,2.8,Severe,assfcker
cunt ass,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntass
motherfvcking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfvcking
cunt lick,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntlick
jackoffz,jack off,sexual anatomy / sexual acts,1.6,Strong,jackoffz
meat curtains,meat curtains,sexual anatomy / sexual acts,2.0,Strong,meatcurtains
wetback,wetback,racial / ethnic slurs,3.0,Severe,wetback
breasts,breast,sexual anatomy / sexual acts,1.0,Mild,breasts
phuku,fuck,sexual anatomy / sexual acts,2.2,Strong,phuku
butt-fucker,fuck,sexual anatomy / sexual acts,2.2,Strong,butt-fucker
fukkers,fuck,sexual anatomy / sexual acts,2.0,Strong,fukkers
fucking hell,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckinghell
geebag,garbage bag,sexual orientation / gender,1.8,Strong,geebag
niggaz,nigger,racial / ethnic slurs,2.2,Strong,niggaz
vajayjay,vagina,sexual anatomy / sexual acts,1.2,Mild,vajayjay
fuckshit,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckshit
stupidasses,ass,sexual anatomy / sexual acts,1.0,Mild,stupidasses
n1g3r,nigger,racial / ethnic slurs,3.0,Severe,n1g3r
dickjockies,dick,sexual anatomy / sexual acts,2.2,Strong,dickjockies
d1ck,dick,sexual anatomy / sexual acts,1.0,Mild,d1ck
kiddy touch,kidtoucher,sexual anatomy / sexual acts,1.8,Strong,kiddytouch
fick,fuck,sexual anatomy / sexual acts,1.6,Strong,fick
sixty-nine,69,sexual anatomy / sexual acts,1.2,Mild,sixty-nine
mofoshit,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mofoshit
basterd,bastard,other / general insult,1.0,Mild,basterd
f'ed,fuck,sexual anatomy / sexual acts,1.8,Strong,f'ed
dumbass mothafuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,dumbassmothafuckers
cyberfuccs,fuck,sexual anatomy / sexual acts,2.2,Strong,cyberfuccs
g0ddamned,damn,religious offense,1.6,Strong,g0ddamned
ladyboy,ladyboy,sexual orientation / gender,2.2,Strong,ladyboy
pillow biter,pillow biter,sexual anatomy / sexual acts,2.4,Strong,pillowbiter
sluts,slut,sexual orientation / gender,1.6,Strong,sluts
mofcker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mofcker
butthole boy,butt,sexual anatomy / sexual acts,2.6,Severe,buttholeboy
sonna bitch,bitch,sexual orientation / gender,1.2,Mild,sonnabitch
faggot mothafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,faggotmothafuckers
dickhead,dick,sexual anatomy / sexual acts,2.0,Strong,dickhead
dyke,dyke,sexual orientation / gender,2.8,Severe,dyke
nigg@hs,nigger,racial / ethnic slurs,2.8,Severe,nigg@hs
kiss ass,ass,sexual anatomy / sexual acts,1.0,Mild,kissass
whore,whore,sexual orientation / gender,1.8,Strong,whore
dump a load,dump a load,bodily fluids / excrement,1.6,Strong,dumpload
d1ldo,dildo,sexual anatomy / sexual acts,1.4,Mild,d1ldo
crazy sob,bitch,mental disability,1.4,Mild,crazysob
cuntlicker,cunt,sexual anatomy / sexual acts,2.4,Strong,cuntlicker
arse-bandits,arse,sexual anatomy / sexual acts,2.2,Strong,arse-bandits
dothead,dothead,racial / ethnic slurs,2.6,Severe,dothead
fuck faces,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckfaces
spunk,spunk,bodily fluids / excrement,1.2,Mild,spunk
darkfuck,fuck,sexual anatomy / sexual acts,2.4,Strong,darkfuck
shitasses,shit,sexual anatomy / sexual acts,2.0,Strong,shitasses
arseshit,arse,sexual anatomy / sexual acts,1.8,Strong,arseshit
son-of-a-bitch,bitch,sexual orientation / gender,1.2,Mild,son-of-a-bitch
mofuccers,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofuccers
bastard,bastard,other / general insult,1.2,Mild,bastard
ph@ggots,faggot,sexual orientation / gender,2.8,Severe,ph@ggots
gaylords,gay,sexual orientation / gender,2.2,Strong,gaylords
shittiest,shit,bodily fluids / excrement,1.2,Mild,shittiest
scumfvck,fuck,sexual anatomy / sexual acts,2.4,Strong,scumfvck
cock-gobbler,cock,sexual anatomy / sexual acts,2.4,Strong,cock-gobbler
forked,fuck,sexual anatomy / sexual acts,1.0,Mild,forked
knobes,knob,sexual anatomy / sexual acts,1.2,Mild,knobes
fucking shit,fuck,sexual anatomy / sexual acts,1.8,Strong,fuckingshit
phuck3r,fuck,sexual anatomy / sexual acts,1.8,Strong,phuck3r
r3t@rded,retarded,mental disability,2.8,Severe,r3t@rded
assfuck,fuck,sexual anatomy / sexual acts,2.6,Severe,assfuck
shithead,shit,bodily fluids / excrement,1.8,Strong,shithead
asshol3,ass,sexual anatomy / sexual acts,1.8,Strong,asshol3
knobhead,knob,sexual anatomy / sexual acts,1.6,Strong,knobhead
assfuckers,fuck,sexual anatomy / sexual acts,2.8,Severe,assfuckers
ass fucking boiolas,fuck,sexual anatomy / sexual acts,2.6,Severe,assfuckingboiolas
boobs,boobs,sexual anatomy / sexual acts,1.0,Mild,boobs
double dick,dick,sexual anatomy / sexual acts,1.6,Strong,doubledick
mothafuckers,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckers
negroid,negro,racial / ethnic slurs,2.6,Severe,negroid
n1ggahs,niggers,racial / ethnic slurs,3.0,Severe,n1ggahs
piss face,piss,bodily fluids / excrement,1.4,Mild,pissface
niga,nigger,racial / ethnic slurs,2.6,Severe,niga
homo asses,homosexual,sexual anatomy / sexual acts,2.8,Severe,homoasses
wop,wop,racial / ethnic slurs,2.4,Strong,wop
motherfuckkas,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckkas
nigg@z,nigger,racial / ethnic slurs,2.6,Severe,nigg@z
shitefulls,shit,bodily fluids / excrement,1.8,Strong,shitefulls
nigs,nigger,racial / ethnic slurs,2.8,Severe,nigs
carpetmunching,carpet muncher,sexual anatomy / sexual acts,1.6,Strong,carpetmunching
nignigs,nigger,racial / ethnic slurs,3.0,Severe,nignigs
sh1td1ck,shit,bodily fluids / excrement,2.0,Strong,sh1td1ck
penisfvckers,penis,sexual anatomy / sexual acts,2.8,Severe,penisfvckers
bishes,bitch,sexual orientation / gender,1.2,Mild,bishes
jiggas,jiggaboo,racial / ethnic slurs,2.8,Severe,jiggas
wh0r3,whore,sexual orientation / gender,2.0,Strong,wh0r3
4r5ed,arse,sexual anatomy / sexual acts,1.4,Mild,4r5ed
dumbass son-of-a-bitch,bitch,sexual anatomy / sexual acts,1.8,Strong,dumbassson-of-a-bitch
dick breath,dick,sexual anatomy / sexual acts,2.0,Strong,dickbreath
ramrod,ramrod,sexual anatomy / sexual acts,1.0,Mild,ramrod
shitfudgefucker,fuck,bodily fluids / excrement,2.6,Severe,shitfudgefucker
wise ass,ass,sexual anatomy / sexual acts,1.0,Mild,wiseass
motherfk,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfk
punani,punani,sexual anatomy / sexual acts,1.8,Strong,punani
spig,spic,racial / ethnic slurs,2.6,Severe,spig
nigers,nigger,racial / ethnic slurs,3.0,Severe,nigers
p3nisfvcker,penis,sexual anatomy / sexual acts,2.8,Severe,p3nisfvcker
motherfuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckers
mothfck,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothfck
fcuker,fuck,sexual anatomy / sexual acts,2.4,Strong,fcuker
cocksucking,cock,sexual anatomy / sexual acts,2.4,Strong,cocksucking
mecha fag,faggot,sexual orientation / gender,3.0,Severe,mechafag
face fuck,fuck,sexual anatomy / sexual acts,2.8,Severe,facefuck
rat baztad,bastard,animal references,1.8,Strong,ratbaztad
dog-fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,dog-fucker
pussy cat,pussy,sexual anatomy / sexual acts,1.4,Mild,pussycat
jack-off,jack off,sexual anatomy / sexual acts,1.2,Mild,jack-off
phvckings,fuck,sexual anatomy / sexual acts,2.2,Strong,phvckings
pricks,prick,sexual anatomy / sexual acts,1.0,Mild,pricks
goddamn,damn,religious offense,1.6,Strong,goddamn
shtfuk,shit,other / general insult,1.8,Strong,shtfuk
cocksuckers,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuckers
shittydick,shit,bodily fluids / excrement,2.0,Strong,shittydick
bizzach,bitch,sexual orientation / gender,1.6,Strong,bizzach
cockskin,cock,sexual anatomy / sexual acts,1.8,Strong,cockskin
mofo,motherfucker,sexual anatomy / sexual acts,2.0,Strong,mofo
s_h_i_s,shit,bodily fluids / excrement,1.0,Mild,s_h_i_s
dumb@ss,ass,sexual anatomy / sexual acts,1.2,Mild,dumb@ss
higg3r,nigger,racial / ethnic slurs,2.8,Severe,higg3r
ass eating boiolas,ass,sexual anatomy / sexual acts,2.8,Severe,asseatingboiolas
trasherbitchs,bitch,sexual orientation / gender,1.2,Mild,trasherbitchs
cuksuker,cock,sexual anatomy / sexual acts,2.4,Strong,cuksuker
m0fo,motherfucker,sexual anatomy / sexual acts,2.6,Severe,m0fo
bung hole,bung,sexual anatomy / sexual acts,1.0,Mild,bunghole
shittydicks,shit,sexual anatomy / sexual acts,2.0,Strong,shittydicks
shitass,shit,sexual anatomy / sexual acts,2.0,Strong,shitass
fag,faggot,sexual orientation / gender,2.8,Severe,fag
f@ggot,faggot,sexual orientation / gender,3.0,Severe,f@ggot
sh1te,shit,bodily fluids / excrement,1.0,Mild,sh1te
harry palms,harry palms,sexual anatomy / sexual acts,1.6,Strong,harrypalms
greaser,greaser,racial / ethnic slurs,1.0,Mild,greaser
ass,ass,sexual anatomy / sexual acts,1.0,Mild,ass
jerkoffs,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerkoffs
penisfuccer,penis,sexual anatomy / sexual acts,2.8,Severe,penisfuccer
shitsfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,shitsfuck
fcukker,fuck,sexual anatomy / sexual acts,2.2,Strong,fcukker
nobbyhead,knob,sexual anatomy / sexual acts,1.4,Mild,nobbyhead
fckin,fuck,sexual anatomy / sexual acts,2.0,Strong,fckin
shi+y,shit,bodily fluids / excrement,1.0,Mild,shi+y
diks,dick,sexual anatomy / sexual acts,1.2,Mild,diks
bitchs,bitch,sexual orientation / gender,1.0,Mild,bitchs
negr0,negro,racial / ethnic slurs,2.8,Severe,negr0
niggir,nigger,racial / ethnic slurs,3.0,Severe,niggir
pedos,pedophile,other / general insult,2.4,Strong,pedos
shiesterfucks,fuck,sexual anatomy / sexual acts,2.4,Strong,shiesterfucks
flamer,flamer,sexual orientation / gender,2.0,Strong,flamer
cawkmuncher,cock,sexual anatomy / sexual acts,2.2,Strong,cawkmuncher
booty,booty,sexual anatomy / sexual acts,1.0,Mild,booty
throater,throater,sexual anatomy / sexual acts,2.4,Strong,throater
4r5e,arse,sexual anatomy / sexual acts,1.4,Mild,4r5e
b1tches,bitch,sexual orientation / gender,1.4,Mild,b1tches
m0therfuckeds,motherfucker,sexual anatomy / sexual acts,2.8,Severe,m0therfuckeds
coons,coon,racial / ethnic slurs,2.8,Severe,coons
diddle,diddle,sexual anatomy / sexual acts,1.0,Mild,diddle
shitassfuckface,fuck,sexual anatomy / sexual acts,2.8,Severe,shitassfuckface
g@y b1tch,bitch,sexual orientation / gender,2.6,Severe,g@yb1tch
mother fucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucker
gin jockey,gin jockey,sexual anatomy / sexual acts,2.0,Strong,ginjockey
fkings,fuck,sexual anatomy / sexual acts,1.8,Strong,fkings
anal,anal,sexual anatomy / sexual acts,1.0,Mild,anal
p3nisfcker,penis,sexual anatomy / sexual acts,3.0,Severe,p3nisfcker
god-dam,damn,religious offense,1.2,Mild,god-dam
phuc,fuck,sexual anatomy / sexual acts,2.0,Strong,phuc
dirty sanchez,dirty sanchez,sexual anatomy / sexual acts,2.4,Strong,dirtysanchez
packingfudgefucking,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packingfudgefucking
shitfacefucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shitfacefucker
mfukk,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mfukk
higgers,nigger,racial / ethnic slurs,3.0,Severe,higgers
trousersnake,trousersnake,sexual anatomy / sexual acts,1.4,Mild,trousersnake
packingfudge,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packingfudge
bullshit,shit,bodily fluids / excrement,1.2,Mild,bullshit
fvck you,fuck,sexual anatomy / sexual acts,2.2,Strong,fvck
mothafucks,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucks
cocksuk,cock,sexual anatomy / sexual acts,2.0,Strong,cocksuk
mothter fuck,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothterfuck
n1gg@,nigger,racial / ethnic slurs,3.0,Severe,n1gg@
fuks,fuck,sexual anatomy / sexual acts,2.2,Strong,fuks
l@dyb0y,ladyboy,sexual orientation / gender,2.0,Strong,l@dyb0y
mutha fucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafucka
prick-gobbler,prick,sexual anatomy / sexual acts,2.2,Strong,prick-gobbler
cotton picker,cotton picker,racial / ethnic slurs,2.8,Severe,cottonpicker
mofo ass,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofoass
penisfucker,fuck,sexual anatomy / sexual acts,3.0,Severe,penisfucker
chink,chink,racial / ethnic slurs,3.0,Severe,chink
dlck,dick,sexual anatomy / sexual acts,1.2,Mild,dlck
dogsh1t,shit,bodily fluids / excrement,1.2,Mild,dogsh1t
phucking,fuck,sexual anatomy / sexual acts,2.4,Strong,phucking
cock smoker,cock,sexual anatomy / sexual acts,2.2,Strong,cocksmoker
b1tchs,bitch,sexual orientation / gender,1.4,Mild,b1tchs
muthafuckker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafuckker
jiggerboo,jiggaboo,racial / ethnic slurs,2.6,Severe,jiggerboo
fudgefucker,fudge packer,sexual anatomy / sexual acts,3.0,Severe,fudgefucker
jigga,jiggaboo,racial / ethnic slurs,2.4,Strong,jigga
gay fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,gayfucker
pedobear,pedophile,sexual orientation / gender,2.0,Strong,pedobear
bitched,bitch,sexual orientation / gender,1.2,Mild,bitched
d1ckz,dick,sexual anatomy / sexual acts,1.0,Mild,d1ckz
fux,fuck,sexual anatomy / sexual acts,2.2,Strong,fux
hoes,hoe,sexual orientation / gender,2.0,Strong,hoes
arsewipe,arse,sexual anatomy / sexual acts,1.4,Mild,arsewipe
cyberfcks,fuck,sexual anatomy / sexual acts,2.4,Strong,cyberfcks
fukk,fuck,sexual anatomy / sexual acts,2.0,Strong,fukk
dicksmoker,dick,sexual anatomy / sexual acts,2.8,Severe,dicksmoker
fuc,fuck,sexual anatomy / sexual acts,1.6,Strong,fuc
biotch,bitch,sexual orientation / gender,1.0,Mild,biotch
slanteyes,slant eye,racial / ethnic slurs,3.0,Severe,slanteyes
pecker,pecker,sexual anatomy / sexual acts,1.4,Mild,pecker
dick face,dick,sexual anatomy / sexual acts,1.8,Strong,dickface
jizz,jizz,bodily fluids / excrement,1.6,Strong,jizz
fukheads,fuck,sexual anatomy / sexual acts,2.0,Strong,fukheads
butt pirate,butt,sexual orientation / gender,2.2,Strong,buttpirate
knob-gobbler,knob,sexual anatomy / sexual acts,1.6,Strong,knob-gobbler
cunt licker,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntlicker
b0llock,bollocks,sexual anatomy / sexual acts,1.0,Mild,b0llock
girly bits,girly bits,sexual anatomy / sexual acts,1.0,Mild,girlybits
mothafuccer,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuccer
jerk-offs,jerk off,sexual anatomy / sexual acts,1.0,Mild,jerk-offs
c*nt,cunt,sexual anatomy / sexual acts,3.0,Severe,c*nt
shit stain,shit,bodily fluids / excrement,1.8,Strong,shitstain
punk ass mofoes,motherfucker,sexual anatomy / sexual acts,2.8,Severe,punkassmofoes
fuckster,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckster
son of a bitch,bitch,other / general insult,1.2,Mild,sonbitch
faggo,faggot,sexual orientation / gender,2.8,Severe,faggo
dumbass mofoes,ass,sexual anatomy / sexual acts,2.4,Strong,dumbassmofoes
mufdive,muff,sexual anatomy / sexual acts,1.8,Strong,mufdive
shipdit,shit,bodily fluids / excrement,1.4,Mild,shipdit
clusterfuck,fuck,sexual anatomy / sexual acts,1.8,Strong,clusterfuck
mothafucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafucker
muthafucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafucka
fart-fucker,fuck,sexual anatomy / sexual acts,2.2,Strong,fart-fucker
MFer,motherfucker,sexual anatomy / sexual acts,1.8,Strong,MFer
wh0re,whore,sexual orientation / gender,2.0,Strong,wh0re
dogstyle,doggy style,sexual anatomy / sexual acts,1.0,Mild,dogstyle
nigg3rs,nigger,racial / ethnic slurs,3.0,Severe,nigg3rs
dicklicker,dick,sexual anatomy / sexual acts,2.2,Strong,dicklicker
fucks,fuck,sexual anatomy / sexual acts,2.0,Strong,fucks
bitchness,bitch,sexual orientation / gender,1.6,Strong,bitchness
oven dodger,oven dodger,racial / ethnic slurs,2.0,Strong,ovendodger
fck,fuck,sexual anatomy / sexual acts,2.4,Strong,fck
chinese-virus,china virus,political,2.8,Severe,chinese-virus
turdhead,turd,bodily fluids / excrement,1.6,Strong,turdhead
we1back,wetback,racial / ethnic slurs,2.6,Severe,we1back
nobjocky,knob,sexual anatomy / sexual acts,2.4,Strong,nobjocky
nigre,nigger,racial / ethnic slurs,3.0,Severe,nigre
shi+,shit,bodily fluids / excrement,1.0,Mild,shi+
jigaboos,jiggaboo,racial / ethnic slurs,2.8,Severe,jigaboos
jigaboo,jiggaboo,racial / ethnic slurs,2.4,Strong,jigaboo
boner,boner,sexual anatomy / sexual acts,1.0,Mild,boner
cock rider,cock,sexual anatomy / sexual acts,2.4,Strong,cockrider
Mothafucc,motherfucker,sexual anatomy / sexual acts,2.8,Severe,Mothafucc
